,Action,Romance,Science Fiction,Thriller,War,Western
0,assignment,attend,terrorist,criminal,across,assignment
1,terrorist,challenge,washington,cia,bodyguard,terrorist
2,clean,girlfriend,demand,dealer,girlfriend,criminal
3,cia,farm,modern,private,farm,cia
4,district,student,comedy,lord,student,private
5,illegal,professional,havoc,track,paris,discovers
6,lord,havoc,science,police,war,identity
7,police,identity,center,powerful,best,best
8,living,science,view,crime,university,war
9,stolen,track,powerful,detective,singer,throw
10,crime,best,assign,agent,french,police
11,fed,center,murder,undercover,detective,evidence
12,agent,university,reason,murder,room,agent
13,undercover,view,reluctant,land,college,innocence
14,room,french,assault,file,ii,room
15,land,room,romantic,danger,marry,marry
16,file,college,intrigue,drug,murder,land
17,japanese,compete,world,operation,chase,guard
18,drug,marry,plane,consequence,world,corrupt
19,operation,romantic,special,crook,late,japanese
20,consequence,intrigue,killer,special,killer,current
21,crook,introduce,,killer,,operation
22,,world,,miami,,
23,,bunch,,,,
