0,1,2,3,4,5,6,7,8,9
man,demon,convince,story,discovers,political,guest,friend,true,like
love,fall,french,student,king,two,play,romantic,story,dr
young,husband,try,officer,beautiful,story,dangerous,help,boy,home
killer,serial,detective,law,female,victim,violence,person,gay,one
daughter,wife,face,leave,suffer,die,car,accident,second,poor
team,stop,evil,try,former,cop,computer,agent,kgb,protect
woman,town,come,pursue,small,notorious,beautiful,mysterious,work,comedy
film,story,work,tell,base,red,comedy,set,boy,strange
get,thing,friend,go,best,marry,tell,old,help,marriage
find,new,way,time,hit,job,secret,die,friend,make
take,one,meet,become,plan,job,decide,involve,night,son
american,war,expatriate,paris,affair,world,ii,arrive,france,meet
family,father,search,year,irish,son,neighbor,widow,marriage,farm
drug,want,name,operation,lord,local,sell,cia,undercover,agent
life,move,learn,housewife,friend,four,day,end,lesbian,year
school,girl,high,parent,teacher,go,trip,society,come,city
criminal,police,leader,kill,run,know,group,old,money,kidnap
murder,two,run,accuse,project,put,girlfriend,crime,boy,investigate
