Action,Romance,Science Fiction,Thriller,War,Western
terrorist,college,space,serial_killer,ii,indian
assassin,high_school,astronaut,murderer,nazi,cavalry
master,wedding,spaceship,solve,camp,reservation
gangster,date,galaxy,terrorize,troop,tribe
target,friendship,moon,fbi_agent,allied,chief
ruthless,married,humanity,target,general,fort
martial_art,summer,unknown,justice,wwii,west
cia,love_story,survivor,thriller,invasion,wagon
fighter,teenage,universe,witness,prisoner,gold
mob,romantic,robot,police_officer,vietnam,western
hero,two_young,giant,supernatural,pilot,sheriff
warrior,romantic_comedy,experiment,young_girl,jewish,outlaw
russian,sex,monster,true_story,commander,west
spy,divorce,mutant,maniac,resistance,desert
mafia,musical,virus,investigation,history,bandit
hitman,sexual,science,loose,,ranch
kgb,,,trail,,texas
international,,,pursuit,,small_town
corrupt,,,police_detective,,civil_war
undercover,,,haunt,,wild
,,,accident,,bounty_hunter
,,,hostage,,cattle
,,,nightmare,,cowboy
,,,identity,,mine
